BI10003	BI10004	BI10005	BI10006	BI10007	BI10008	BI10009	BI10010	BI10011	BI10012	BI10013	BI10014	BI10015	BI10016	BI10017	BI10018	BI10019	BI10020	BI10021	BI10022	BI10023	BI10023	BI10024	BI10024	BI10025	BI10026	BI10026	BI10027	BI10027	BI10028	BI10029	BI10030	BI10031	BI10032	BI10032	BI10033	BI10033	BI10034	BI10035	BI10036	BI10037	BI10038	BI10039	BI10040	BI10041	BI10042	BI10043	BI10044	BI10045	BI10046	BI10046	BI10047	BI10048	BI10049	BI10050	BI10051	BI10052p	BI10054	BI10054	BI10055	BI10055	BI10056	BI10056	BI10056	BI10058	BI10060	BI10060	BI10061	BI10061	BI10062	BI10062	BI10085	BI10086	BI10087
BI10013	0.36171641810269	0.445417095086242	0.473081404106482	0.436495661893979	0.577003085643575	0.259478087988039	0.0441603642233077	0.156828759186606	0.0708786183103926	0.6214076378415	1	0.573156514420452	0.373422314659578	0.4393258679455	0.608246543453297	0.0459811095285658	0.0628657054878841	0.0482295755479402	0.0689303248791038	0.505794068098168	0.634751145041055	0	0.431151604787636	0	0.270472120640753	0.374737277091979	0	0.39817242705361	0	0.0227833079675733	0.612256323891602	0.628948287600783	0.611264419941956	0.659074536747165	0	0.154060745028487	0	0.404290740094944	0.426040699780798	0.233143882647062	0.0782473467062759	0.10473043388515	0.344792954857097	0.174470594131028	0.117846904788404	0.0645686658519945	0.288926340460281	0.126921702452009	0.0950240850825862	0	0	0.513835810184181	0.505986045059018	0.581833802536737	0.540525357625461	0.292478716224869	0.258793829030744	0.287627620536001	0	0	0	0	0	0	0.241438432687877	0.183606704909986	0	0.0486149055261917	0	0.231740383152793	0	0.256469973158234	0.162445922748373	0.179524389229047
BI10014	0.228756134428235	0.624045925493227	0.552858921464371	0.406382462737359	0.645365887079057	0.180445266501769	0.175773679768632	0.161489559435932	0.139973831289375	0.434377797259096	0.573156514420452	1	0.805311386350072	0.792685329061845	0.613982720264399	0.22953428896072	0.220128901080143	0.20764811780704	0.155000417282932	0.429008607665744	0.250723489512732	0	0.303153182521674	0	0.196584014072398	0.368471084366939	0	0.753469772778951	0	0.135350896595353	0.552485786114871	0.682658323254014	0.6519075798604	0.185327306210772	0	0.109348707551641	0	0.00184133784493533	0.0831851379319565	0.0348116842824392	0.069302471241402	0.160416306114972	0.201140219987603	0.25220963816024	0.247435468612786	0.254165860477979	0.288618233036815	0.356956908246781	0.28274260967459	0	0	0.274357479917406	0.281256891798044	0.489007186097204	0.555270434198782	0.0601192103770785	0.258947775826254	0.300259595460563	0	0	0	0	0	0	0.383162593412406	0.212534782957555	0	0.263745946135503	0	0.149416334239585	0	0.166212009079232	0.139636728216748	0.0701049723671065
BI10015	0.202569249564575	0.602137872728784	0.519799162055204	0.377500940485596	0.596781075440617	0.28406084432418	0.166093304231039	0.0669611481026411	0.0540657788537518	0.33224429707067	0.373422314659578	0.805311386350072	1	0.83288607514713	0.504778267670778	0.272183584785872	0.224913982936435	0.254416449250696	0.214722396785975	0.299515176181428	0.0464633684101965	0	0.116476186963416	0	0.14029672971845	0.235015363313516	0	0.782524325352155	0	0.113916237741887	0.475493894943638	0.627177256117501	0.556174500622427	0.138705105306218	0	0.011320301899529	0	0.15601398602381	0.0311597124208683	0.158138728877835	0.0648000857802607	0.188749788880377	0.170150716379365	0.261214403501552	0.334661657827098	0.355858482775278	0.301718134077874	0.457571480195848	0.356608189403946	0	0	0.145862331997208	0.140243281330238	0.368408315455342	0.475542125642943	0.0268600898328504	0.222787698434324	0.410656258880881	0	0	0	0	0	0	0.463610154687496	0.360116295538017	0	0.380940384477657	0	0.147714619937986	0	0.312204591717087	0.225080486675162	0.117427755601408
BI10016	0.171780309150419	0.6650637924448	0.611225102510547	0.463912575248718	0.651590730454687	0.306195950752748	0.256645167319945	0.17762799630068	0.124699085751852	0.424869321397105	0.4393258679455	0.792685329061845	0.83288607514713	1	0.617808764246746	0.305483135250393	0.303709248644413	0.317408166191101	0.280557533700581	0.384929201627955	0.0619525448246033	0	0.0938491450139229	0	0.124547404773617	0.177585130078421	0	0.629939990163269	0	0.212290452671398	0.522356358204396	0.639093998710799	0.663361990712148	0.0269861667135924	0	0.0260501958656303	0	0.149784002560313	0.0103830267622521	0.184788233958978	0.0408686891054613	0.196724049118189	0.171385799156914	0.262734035829168	0.362679918139945	0.284081856168945	0.339904857176347	0.441897825645888	0.391439715960027	0	0	0.185995957895736	0.187439520818493	0.463447491256746	0.578531653691661	0.0193878308962568	0.225447489745913	0.267051768410852	0	0	0	0	0	0	0.354551049819353	0.266674962402182	0	0.290601294364615	0	0.0889602383927564	0	0.338980126510251	0.286722848584153	0.151655739498203
BI10017	0.0378636343395429	0.595345762697706	0.641051930112371	0.528424039749917	0.654597550445729	0.176439644482018	0.423671997626829	0.497241963179036	0.411605324768832	0.780399412552673	0.608246543453297	0.613982720264399	0.504778267670778	0.617808764246746	1	0.164245656086719	0.195776459242585	0.156266252728872	0.23071358822619	0.498469839999057	0.146264912258081	0	0.0879813144428489	0	0.271636049288441	0.0996102980667136	0	0.527599299803779	0	0.363605110050298	0.685198880195084	0.605891870718006	0.90703131475839	0.131370786463638	0	0.151042343219248	0	0.142287035996925	0.125891167323665	0.102789427487935	0.148317834859655	0.00742698287309181	0.133197597194058	0.0401519761685403	0.130555557157455	0.058226665715043	0.213196544451226	0.171251030053898	0.246137447317586	0	0	0.534292076977638	0.595612392931002	0.817981837177264	0.849095314191683	0.17182666793977	0.14007516732925	0.0785566705776507	0	0	0	0	0	0	0.00680878899998118	0.135585151079525	0	0.0822814579013715	0	0.259775850681391	0	0.102791991633952	0.228305738118843	0.173626191388004
BI10018	0.18539488194499	0.0944485254706413	0.033561318287807	0.0815913157820969	0.0330179990667296	0.379775571366911	0.233143838407625	0.174103389464642	0.151569468117034	0.0895307190485502	0.0459811095285658	0.22953428896072	0.272183584785872	0.305483135250393	0.164245656086719	1	0.869168876714018	0.813541727672848	0.767002694564501	0.408027363261414	0.748065203632558	0	0.57088925683571	0	0.555885544290186	0.575831171446103	0	0.0419891372527819	0	0.246486380506552	0.133933538686573	0.112705255264556	0.233335929882581	0.66280584276584	0	0.0541056792533847	0	0.266464157037239	0.241627300535157	0.273185553222803	0.0712311045503062	0.022060098877782	0.104161748082725	0.0325309138772998	0.023477853882268	0.0562040982900071	0.0424544228328551	0.0904720663369579	0.0781968760593271	0	0	0.237634180869042	0.232167434732819	0.0729767529853919	0.190946371578123	0.0697516202555402	0.107884392732751	0.240727363794078	0	0	0	0	0	0	0.0839937093837867	0.174705286903484	0	0.103952130253693	0	0.101189671007314	0	0.399103394516758	0.344717860951353	0.220987677939514
BI10019	0.163538253001317	0.107557496816726	0.0993022352493824	0.0149373147748356	0.0599821852236089	0.292855025884898	0.244345763221515	0.205062094754516	0.144563433420297	0.144058558893896	0.0628657054878841	0.220128901080143	0.224913982936435	0.303709248644413	0.195776459242585	0.869168876714018	1	0.817840503961714	0.785557552111405	0.0663529677098666	0.67112005426912	0	0.519457711816787	0	0.580833251960268	0.666906675932006	0	0.154939470219672	0	0.254151391316934	0.155790105578304	0.134586896339418	0.256866850959936	0.659001368058036	0	0.0457354415996315	0	0.194029899210751	0.174654095855927	0.257682618506323	0.0460610828186651	0.0279335309718451	0.0841898966575197	0.0279237450723978	0.0172888135812043	0.0473565983853748	0.0680619605548707	0.0696712167772232	0.0450284454293372	0	0	0.20951543892172	0.235133332018978	0.091446318500035	0.211848243811273	0.0840394401768474	0.0600311088213527	0.273375477583259	0	0	0	0	0	0	0.111242329527432	0.182651930015284	0	0.083675895124593	0	0.0850753320099657	0	0.355506821217884	0.323162599308238	0.194974844529963
BI10020	0.19303472371411	0.117646241988542	0.0343943399832632	0.164102017724065	0.0444087394479146	0.37379078413635	0.248499936614166	0.214856861115006	0.152743523904671	0.0706265462188231	0.0482295755479402	0.20764811780704	0.254416449250696	0.317408166191101	0.156266252728872	0.813541727672848	0.817840503961714	1	0.851648467795365	0.10736307963905	0.567619617886028	0	0.535353582797754	0	0.661660534440827	0.744821951570121	0	0.0938376279238306	0	0.237672794698176	0.055679134979888	0.113435099944955	0.170372786492575	0.657012862978224	0	0.10009582849497	0	0.398561869173592	0.321629159388891	0.356835061450174	0.101166969364862	0.068953577288162	0.095590420408577	0.0396717426240977	0.0123176248166152	0.0781574609587178	0.0570880687271023	0.154830296260728	0.13028866511969	0	0	0.29500463182442	0.282595454157446	0.0202436896918968	0.117605030732664	0.126824506807578	0.114839054497525	0.123733891757736	0	0	0	0	0	0	0.0894765602936146	0.106361135689891	0	0.0691592240158994	0	0.146390608698568	0	0.512315271386008	0.42372218021959	0.329844551928825
BI10021	0.272096117654262	0.131161151633013	0.0911200985294772	0.0646786262476617	0.0200059272150383	0.417506750661635	0.314121618900819	0.292879962581784	0.221851983067075	0.137814306354387	0.0689303248791038	0.155000417282932	0.214722396785975	0.280557533700581	0.23071358822619	0.767002694564501	0.785557552111405	0.851648467795365	1	0.325050149254069	0.539974444138335	0	0.623726314273969	0	0.601805832537092	0.85018712618693	0	0.0122440206346689	0	0.301828642628195	0.116282133875752	0.0991024267191546	0.284738479790394	0.686671910555617	0	0.0148193506988862	0	0.364474484674211	0.329588004705891	0.401299847023541	0.176166333903352	0.051398075608759	0.19254811443206	0.120244881367988	0.0418761642956524	0.115936326975003	0.0135845508328197	0.0875136117146058	0.0748335226534969	0	0	0.281768359948766	0.242193385627096	0.0666491098979762	0.249582469673827	0.0620523919069394	0.11912238124212	0.403287618460646	0	0	0	0	0	0	0.383245996290397	0.32020979595442	0	0.0823360350441296	0	0.0390401562597921	0	0.504727263859519	0.498808401655537	0.361674508576978
BI10022	0.0514025662151894	0.365218081798735	0.515712856370136	0.342335999488272	0.316733102836258	0.00747543215896916	0.401413620565048	0.443083069062458	0.182729600005886	0.200121684044981	0.505794068098168	0.429008607665744	0.299515176181428	0.384929201627955	0.498469839999057	0.408027363261414	0.0663529677098666	0.10736307963905	0.325050149254069	1	0	0	0	0	0.300298899733861	0	0	0	0	0.21732607682452	0.338865828656148	0.343232477485342	0.530227921385569	0	0	0	0	0.125260332848024	0.103152344938262	0.0243753781570161	0.0587104586499157	0.20013831614072	0.147998024220896	0.192770657601913	0.0746562858571863	0.179553454133168	0.0303410612913647	0.110951207058083	0.333802783864507	0	0	0.282387946829581	0.333983223578212	0.476245467703836	0.428674832207618	0.243041659149086	0.0942210630926552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118510709688034	0.188798628226438	0.123653491559104
BI10023	0.241845359658792	0.13058160989912	0.107682254905035	0.0922537229046882	0.383523988295761	0.329226212117411	0.236058893669599	0.12410745190211	0.173765958211935	0.342692625326636	0.634751145041055	0.250723489512732	0.0464633684101965	0.0619525448246033	0.146264912258081	0.748065203632558	0.67112005426912	0.567619617886028	0.539974444138335	0	1	0	0.712455911478458	0	0.718720723218855	0.418670169224438	0	0.368152145615899	0	0.195333097905824	0.188970241583827	0.231310794020145	0.279372050150208	0.468199948157567	0	0.22873577306325	0	0.344856118530338	0.328555809199109	0.330089342152629	0.18523209038317	0.102364664802769	0.252329109381506	0.0941546286270736	0.0144905329450919	0	0.1839712773057	0.100920457351043	0.0730856143122769	0	0	0.381261092713776	0.321265059902979	0.213297820298208	0.0427391091673708	0.252320090542335	0.394783606840023	0.0838352428471109	0	0	0	0	0	0	0.065083376621651	0.0376176581090126	0	0.191928824641154	0	0.120402140441381	0	0.458560362135147	0.389395092110543	0.156188113659876
BI10023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BI10024	0.130530556955472	0.0697598470909081	0.0694814382508232	0.334226792719407	0.24197791195236	0.127758966929934	0.107104486463231	0.116946907817481	0.0597117370826834	0.0283176477638785	0.431151604787636	0.303153182521674	0.116476186963416	0.0938491450139229	0.0879813144428489	0.57088925683571	0.519457711816787	0.535353582797754	0.623726314273969	0	0.712455911478458	0	1	0	0.806663298761779	0.667528384282209	0	0.475064347921552	0	0.0915333695316266	0.109222773982028	0.162608875102435	0.105492855705757	0.336214614213312	0	0.129592026474002	0	0.0341477855396633	0.113550306182014	0.341345246946938	0.218150629887632	0.00332343507450747	0.104948759312424	0.120569927928565	0.0309892535077793	0	0.0451069033339768	0.151070576605142	0.0571867162413248	0	0	0.059760407930221	0.0618301098531189	0.0143498417087973	0.161027422919689	0.0521096086491069	0.230166099415103	0.225198357280143	0	0	0	0	0	0	0.232400754424456	0.172494882578792	0	0.0907626244471605	0	0.155528848642414	0	0.251178463082451	0.23684160175712	0.0230193264261985
BI10024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BI10025	0.109117787392992	0.188471684777468	0.288869120538014	0.368235671674312	0.283879884117169	0.103035742393797	0.0521408057953017	0.0665439789778116	0.105208841479381	0.209911003211905	0.270472120640753	0.196584014072398	0.14029672971845	0.124547404773617	0.271636049288441	0.555885544290186	0.580833251960268	0.661660534440827	0.601805832537092	0.300298899733861	0.718720723218855	0	0.806663298761779	0	1	0.887696746092774	0	0.493909461903497	0	0.0464959107741388	0.226775694548782	0.209802194805253	0.260008243963818	0.590114586781828	0	0.113072640929422	0	0.261019131836096	0.223563953373873	0.192332106116149	0.027065934212225	0.0384853695396109	0.144133716937167	0.109132259089523	0.125952488721147	0.0452782702291108	0.06805203082008	0.00901210506056474	0.0848662840740685	0	0	0.509473916495591	0.55311177799869	0.360416412880402	0.271793523712553	0.0826539521014838	0.157521873353288	0.0518912561113102	0	0	0	0	0	0	0.125635589404237	0.0239110236503292	0	0.0199965046368416	0	0.17131968462118	0	0.249473551248076	0.180883366685446	0.0866096508163916
